value,group,percentage
1499612.8,A,0.80904849
148894.8,B,0.080329478
147714.9,C,0.079692916
24918.4,D,0.0134436
32410.3,E,0.017485516
1780.8,F,0.00096075
1503101.9,A,0.804920736
146626.2,B,0.078519273
160510.8,C,0.085954566
24960.6,D,0.013366562
32191.6,E,0.017238809
1380.6,F,0.00073932
1486873.1,A,0.80315129
140451.3,B,0.075866355
165441.4,C,0.08936504
25007.5,D,0.013508083
33525.6,E,0.018109231
844.8,F,0.000456328
1503122,A,0.795067238
138692.1,B,0.073360343
188854.2,C,0.09989328
24636.6,D,0.01303138
35254.7,E,0.018647759
799.7,F,0.000422996
1500911.5,A,0.790771245
127902.2,B,0.067386639
212507,C,0.111961581
23148.2,D,0.012195876
33566.1,E,0.017684658
768.9,F,0.000405103
1493259.9,A,0.779365238
140850.2,B,0.073512822
223342.6,C,0.116567423
22761.2,D,0.011879572
35781.1,E,0.018674944
763.1,F,0.000398279
1503854.6,A,0.76820173
140700.4,B,0.071872833
256755.8,C,0.131156463
12550.3,D,0.006410967
43768.7,E,0.022358007
1235.9,F,0.000631325
1501071.5,A,0.765973603
136200.3,B,0.06950091
265050.4,C,0.135251126
12773.1,D,0.006517916
44595.6,E,0.022756446
577.7,F,0.000294791
1505485.3,A,0.769303091
134651.4,B,0.068806875
262997.4,C,0.134391689
12788.3,D,0.006534822
41024.4,E,0.020963471
911.9,F,0.000465981
1503741.1,A,0.769171761
132377.4,B,0.067711761
261879,C,0.133952535
12614.5,D,0.006452385
44401.5,E,0.022711609
1083.2,F,0.000554063
1505909.9,A,0.771097683
131744.7,B,0.067459569
259665.9,C,0.132961324
12586.1,D,0.006444683
43036.6,E,0.022036792
969.1,F,0.000496225
1525815.5,A,0.767182182
130049.9,B,0.065389273
268644.6,C,0.135074883
12308.8,D,0.006188882
52038,E,0.02616478
886.3,F,0.000445633
1536268.5,A,0.767662138
126898.3,B,0.063410153
274820,C,0.137325545
12276.3,D,0.006134377
50966.9,E,0.025467787
1213,F,0.000606127
1535664.9,A,0.763597196
126808.4,B,0.063054472
284763.6,C,0.141596442
12290.5,D,0.006111354
51565.6,E,0.025640586
1227.3,F,0.000610265
1556066.8,A,0.766568222
125225.8,B,0.06169023
283210.4,C,0.139518492
11973.9,D,0.005898726
53436.2,E,0.026324379
1200.5,F,0.000591405
1579522.2,A,0.769278521
126253.8,B,0.061489694
285382.7,C,0.138990627
12002.8,D,0.005845753
50089.9,E,0.024395405
1285.9,F,0.000626275
1603289.6,A,0.774460688
125596.5,B,0.060668735
278021.5,C,0.134296837
12016.6,D,0.005804556
51277.1,E,0.024769136
937.8,F,0.000452999
1626395.4,A,0.774986487
127726.9,B,0.060862581
282958.2,C,0.134831162
11702.9,D,0.005576497
49827.9,E,0.023743273
1003.8,F,0.000478316
1645961.7,A,0.774379004
124779.7,B,0.058705363
294844.3,C,0.138716007
11323.3,D,0.005327296
48615.7,E,0.022872329
1592.4,F,0.00074918
1656923.8,A,0.782735398
111889.4,B,0.052856863
287504.8,C,0.135818065
13835.9,D,0.006536118
46683.8,E,0.022053557
1367.3,F,0.000645916
1677196.3,A,0.779104955
110145,B,0.051165457
304116.8,C,0.141270826
13525.1,D,0.00628279
47738.7,E,0.022175972
1358.6,F,0.000631108
1703111.1,A,0.78374218
109096.6,B,0.050204363
302173.7,C,0.139055094
13489.1,D,0.00620745
45179.7,E,0.020790914
2809.6,F,0.001292929
1707607.3,A,0.772361036
133567.3,B,0.060413292
310818.7,C,0.140585165
13502.9,D,0.006107443
45396.4,E,0.020533064
2782.8,F,0.001258677
1724683.9,A,0.775292601
131514,B,0.059119141
307369.6,C,0.138171045
13192,D,0.005930165
47799.2,E,0.021487048
3005.3,F,0.001350965
1737862.6,A,0.781319836
129172.4,B,0.058074187
289891.8,C,0.130331485
13151.2,D,0.005912604
54187.2,E,0.024361842
2842.7,F,0.00127804
1762720.6,A,0.783108772
131925.1,B,0.058609233
291006,C,0.129282741
13166,D,0.005849146
52109.2,E,0.023150108
3068.2,F,0.001363083
1783340.3,A,0.782749878
133745.2,B,0.058703905
300566,C,0.131925466
12855.5,D,0.00564258
47794.6,E,0.020978171
2993.6,F,0.001313961
1829522.7,A,0.783520996
135742.8,B,0.058133924
300798.2,C,0.128821416
12814.8,D,0.005488134
56123,E,0.024035531
2751,F,0.001178158
1834775.7,A,0.785944658
134095.3,B,0.057441073
302763.8,C,0.129691924
12825.3,D,0.005493846
50024.5,E,0.021428499
3242.8,F,0.001389086
1876037.2,A,0.784365055
144182,B,0.060282025
309353.6,C,0.129339735
12520.1,D,0.005234613
49698,E,0.020778572
3332.6,F,0.001393349
1912494.6,A,0.776962945
